資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20260731,1305,14,6,5333762,0.91
20260731,1305,15,21,273292563,47.03
20260731,1305,16,73006,581050494,100.0
20260731,1307,1,8189,1166099,0.29
20260731,1307,2,7112,15125333,3.8
20260731,1307,3,1243,9653517,2.42
20260731,1307,4,369,4637845,1.16
20260731,1307,5,215,3908573,0.98
20260731,1307,6,215,5513913,1.38
20260731,1307,7,98,3526371,0.88
20260731,1307,8,71,3284303,0.82
20260731,1307,9,134,9426069,2.36
20260731,1307,10,54,7560178,1.9
20260731,1307,11,38,10923614,2.74
20260731,1307,12,9,4301213,1.08
20260731,1307,13,8,5496186,1.38
20260731,1307,14,2,1877817,0.47
20260731,1307,15,43,311417095,78.28
20260731,1307,16,17800,397818126,100.0
20260731,1308,1,41364,4109161,0.69
20260731,1308,2,24454,54215980,9.13
20260731,1308,3,5344,40658641,6.84
20260731,1308,4,1761,21852708,3.68
20260731,1308,5,1201,21875365,3.68
20260731,1308,6,983,24912029,4.19
20260731,1308,7,474,16863421,2.84
20260731,1308,8,283,13019665,2.19
20260731,1308,9,523,37424483,6.3
20260731,1308,10,196,27339751,4.6
20260731,1308,11,85,24055447,4.05
20260731,1308,12,20,10082215,1.69
20260731,1308,13,5,3361957,0.56
20260731,1308,14,7,6533765,1.1
20260731,1308,15,29,287439331,48.41
20260731,1308,16,76729,593743919,100.0
20260731,1309,1,46514,3977988,1.0
20260731,1309,2,24068,51974069,13.07
20260731,1309,3,4454,32885694,8.27
20260731,1309,4,1716,20940502,5.26
20260731,1309,5,829,15113392,3.8
20260731,1309,6,761,18977523,4.77
20260731,1309,7,275,9693817,2.43
20260731,1309,8,186,8618752,2.16
20260731,1309,9,326,23613307,5.93
20260731,1309,10,125,16934145,4.25
20260731,1309,11,45,12404899,3.12
20260731,1309,12,13,6520530,1.64
20260731,1309,13,4,2775500,0.69
20260731,1309,14,4,3599024,0.9
20260731,1309,15,9,169557706,42.64
20260731,1309,16,79329,397586848,100.0
20260731,1310,1,60960,5991448,1.13
20260731,1310,2,31662,71306944,13.5
20260731,1310,3,7011,55702602,10.55
20260731,1310,4,2217,27970169,5.29
20260731,1310,5,1492,27899126,5.28
20260731,1310,6,1247,32011327,6.06
20260731,1310,7,573,20781187,3.93
20260731,1310,8,422,19917257,3.77
20260731,1310,9,613,44228379,8.37
20260731,1310,10,247,35415019,6.7
20260731,1310,11,102,28555348,5.4
20260731,1310,12,38,18647101,3.53
20260731,1310,13,14,9425124,1.78
20260731,1310,14,6,5560000,1.05
20260731,1310,15,30,124458733,23.57
20260731,1310,16,106634,527869764,100.0
20260731,1312,1,65806,5085586,0.33
20260731,1312,2,49343,118773202,7.88
20260731,1312,3,10512,83714354,5.55
20260731,1312,4,3390,42857270,2.84
20260731,1312,5,2302,42587258,2.82
20260731,1312,6,1803,46244183,3.06
20260731,1312,7,947,33756148,2.24
20260731,1312,8,651,30369820,2.01
20260731,1312,9,1102,78495013,5.21
20260731,1312,10,493,69782608,4.63
